Date,Open,High,Low,Close,Adj Close,Volume
2022-12-30,7.350000,7.390000,7.200000,7.390000,7.375964,662000
2023-01-03,7.400000,7.620000,7.400000,7.580000,7.565603,948000
2023-01-04,7.580000,7.600000,7.300000,7.500000,7.485755,778000
2023-01-05,7.200000,7.670000,7.200000,7.580000,7.565603,648000
2023-01-06,7.580000,7.640000,7.230000,7.430000,7.415888,606000
2023-01-09,7.500000,7.500000,7.280000,7.410000,7.395926,908000
2023-01-10,7.450000,7.450000,7.250000,7.280000,7.266173,474000
2023-01-11,7.420000,7.420000,7.000000,7.100000,7.086514,2292400
2023-01-12,7.150000,7.160000,6.950000,7.070000,7.056571,904000
2023-01-13,7.000000,7.180000,7.000000,7.090000,7.076534,1224600
2023-01-16,7.230000,7.490000,7.150000,7.180000,7.166362,3794000
2023-01-17,7.210000,7.290000,7.170000,7.190000,7.176343,973000
2023-01-18,7.190000,7.320000,7.110000,7.170000,7.156382,1428000
2023-01-19,7.100000,7.160000,7.030000,7.080000,7.066553,308000
2023-01-20,7.070000,7.250000,7.060000,7.240000,7.226248,370000
2023-01-26,7.280000,7.480000,7.280000,7.340000,7.326059,898000
2023-01-27,7.450000,7.450000,7.300000,7.330000,7.316078,305600
2023-01-30,7.310000,7.580000,7.310000,7.430000,7.415888,3718000
2023-01-31,7.430000,7.500000,7.390000,7.500000,7.485755,1350000
2023-02-01,7.580000,8.180000,7.500000,8.050000,8.034711,3588000
2023-02-02,8.070000,8.180000,7.810000,7.840000,7.825109,1732000
2023-02-03,8.010000,8.010000,7.660000,7.880000,7.865033,1302000
2023-02-06,7.800000,8.170000,7.590000,7.730000,7.715318,2270000
2023-02-07,7.600000,7.870000,7.570000,7.780000,7.765224,520000
2023-02-08,7.800000,7.890000,7.680000,7.760000,7.745261,672000
2023-02-09,7.680000,8.100000,7.600000,7.960000,7.944881,2965000
2023-02-10,7.970000,8.010000,7.670000,7.670000,7.655432,1777000
2023-02-13,7.680000,8.100000,7.670000,8.030000,8.014749,3148000
2023-02-14,8.090000,8.070000,7.850000,7.990000,7.974824,1528000
2023-02-15,8.050000,8.050000,7.890000,7.970000,7.954862,1002000
2023-02-16,7.890000,7.970000,7.780000,7.790000,7.775204,1684000
2023-02-17,7.790000,7.790000,7.650000,7.740000,7.725298,992000
2023-02-20,7.670000,7.930000,7.670000,7.890000,7.875014,1058867
2023-02-21,7.980000,7.980000,7.830000,7.890000,7.875014,592000
2023-02-22,7.890000,7.890000,7.680000,7.720000,7.705337,460000
2023-02-23,7.720000,7.780000,7.660000,7.670000,7.655432,734000
2023-02-24,7.660000,8.030000,7.660000,7.880000,7.865033,5549000
2023-02-27,7.750000,7.920000,7.740000,7.820000,7.805147,2388000
2023-02-28,7.800000,7.920000,7.630000,7.730000,7.715318,1426000
2023-03-01,7.730000,8.040000,7.730000,7.990000,7.974824,2118000
2023-03-02,7.990000,8.590000,7.930000,8.500000,8.483856,6823600
